interaction_name	pathway_name	ligand	receptor	agonist	antagonist	co_A_receptor	co_I_receptor	evidence	annotation	interaction_name_2
TGFB1_TGFBR1_TGFBR2	TGFb	Tgfb1	TGFbR1_R2	TGFb agonist	TGFb antagonist		TGFb inhibition receptor	KEGG: mmu04350	Secreted Signaling	Tgfb1 - (Tgfbr1+Tgfbr2)
TGFB2_TGFBR1_TGFBR2	TGFb	Tgfb2	TGFbR1_R2	TGFb agonist	TGFb antagonist		TGFb inhibition receptor	KEGG: mmu04350	Secreted Signaling	Tgfb2  - (Tgfbr1+Tgfbr2)
TGFB3_TGFBR1_TGFBR2	TGFb	Tgfb3	TGFbR1_R2	TGFb agonist	TGFb antagonist		TGFb inhibition receptor	KEGG: mmu04350	Secreted Signaling	Tgfb3  - (Tgfbr1+Tgfbr2)
TGFB1_ACVR1B_TGFBR2	TGFb	Tgfb1	ACVR1B_TGFbR2	TGFb agonist	TGFb antagonist		TGFb inhibition receptor	PMID: 27449815	Secreted Signaling	Tgfb1  - (Acvr1b+Tgfbr2)
TGFB1_ACVR1C_TGFBR2	TGFb	Tgfb1	ACVR1C_TGFbR2	TGFb agonist	TGFb antagonist		TGFb inhibition receptor	PMID: 27449815	Secreted Signaling	Tgfb1  - (Acvr1c+Tgfbr2)
TGFB2_ACVR1B_TGFBR2	TGFb	Tgfb2	ACVR1B_TGFbR2	TGFb agonist	TGFb antagonist		TGFb inhibition receptor	PMID: 27449815	Secreted Signaling	Tgfb2  - (Acvr1b+Tgfbr2)
TGFB2_ACVR1C_TGFBR2	TGFb	Tgfb2	ACVR1C_TGFbR2	TGFb agonist	TGFb antagonist		TGFb inhibition receptor	PMID: 27449815	Secreted Signaling	Tgfb2  - (Acvr1c+Tgfbr2)
TGFB3_ACVR1B_TGFBR2	TGFb	Tgfb3	ACVR1B_TGFbR2	TGFb agonist	TGFb antagonist		TGFb inhibition receptor	PMID: 27449815	Secreted Signaling	Tgfb3  - (Acvr1b+Tgfbr2)
TGFB3_ACVR1C_TGFBR2	TGFb	Tgfb3	ACVR1C_TGFbR2	TGFb agonist	TGFb antagonist		TGFb inhibition receptor	PMID: 27449815	Secreted Signaling	Tgfb3  - (Acvr1c+Tgfbr2)
TGFB1_ACVR1_TGFBR1	TGFb	Tgfb1	ACVR1_TGFbR					PMID: 29376829	Secreted Signaling	Tgfb1  - (Acvr1+Tgfbr1)
TGFB2_ACVR1_TGFBR1	TGFb	Tgfb2	ACVR1_TGFbR					PMID: 29376829	Secreted Signaling	Tgfb2  - (Acvr1+Tgfbr1)
TGFB3_ACVR1_TGFBR1	TGFb	Tgfb3	ACVR1_TGFbR					PMID: 29376829	Secreted Signaling	Tgfb3  - (Acvr1+Tgfbr1)
BMP2_BMPR1A_ACVR2A	BMP	Bmp2	BMPR1A_ACVR2A		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp2  - (Bmpr1a+Acvr2a)
BMP2_BMPR1A_ACVR2B	BMP	Bmp2	BMPR1A_ACVR2B		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp2  - (Bmpr1a+Acvr2b)
BMP2_BMPR1A_BMPR2	BMP	Bmp2	BMPR1A_BMPR2		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp2  - (Bmpr1a+Bmpr2)
BMP2_BMPR1B_ACVR2A	BMP	Bmp2	BMPR1B_ACVR2A		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp2  - (Bmpr1b+Acvr2a)
BMP2_BMPR1B_ACVR2B	BMP	Bmp2	BMPR1B_ACVR2B		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp2  - (Bmpr1b+Acvr2b)
BMP2_BMPR1B_BMPR2	BMP	Bmp2	BMPR1B_BMPR2		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp2  - (Bmpr1b+Bmpr2)
BMP4_BMPR1A_ACVR2A	BMP	Bmp4	BMPR1A_ACVR2A		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp4  - (Bmpr1a+Acvr2a)
BMP4_BMPR1A_ACVR2B	BMP	Bmp4	BMPR1A_ACVR2B		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp4  - (Bmpr1a+Acvr2b)
BMP4_BMPR1A_BMPR2	BMP	Bmp4	BMPR1A_BMPR2		BMP antagonist		BMP inhibition receptor	KEGG: mmu04350; PMID:26893264	Secreted Signaling	Bmp4  - (Bmpr1a+Bmpr2)
