source	target	ligand	receptor	prob	pval	interaction_name	interaction_name_2	pathway_name	annotation	evidence
Vascular endothelial cells	Microglia	Tgfb1	TGFbR1_R2	0.00110721506383941	0	TGFB1_TGFBR1_TGFBR2	Tgfb1 - (Tgfbr1+Tgfbr2)	TGFb	Secreted Signaling	KEGG: mmu04350
Vascular endothelial cells	Vascular endothelial cells	Tgfb1	TGFbR1_R2	0.00153699908847552	0	TGFB1_TGFBR1_TGFBR2	Tgfb1 - (Tgfbr1+Tgfbr2)	TGFb	Secreted Signaling	KEGG: mmu04350
Bipolar cells	Microglia	Tgfb2	TGFbR1_R2	0.0148474415914347	0	TGFB2_TGFBR1_TGFBR2	Tgfb2  - (Tgfbr1+Tgfbr2)	TGFb	Secreted Signaling	KEGG: mmu04350
Müller glia	Microglia	Tgfb2	TGFbR1_R2	0.0167875137416339	0	TGFB2_TGFBR1_TGFBR2	Tgfb2  - (Tgfbr1+Tgfbr2)	TGFb	Secreted Signaling	KEGG: mmu04350
Pericytes	Microglia	Tgfb2	TGFbR1_R2	0.00268445676416384	0	TGFB2_TGFBR1_TGFBR2	Tgfb2  - (Tgfbr1+Tgfbr2)	TGFb	Secreted Signaling	KEGG: mmu04350
Retinal ganglion cells	Microglia	Tgfb2	TGFbR1_R2	0.00373681774012392	0	TGFB2_TGFBR1_TGFBR2	Tgfb2  - (Tgfbr1+Tgfbr2)	TGFb	Secreted Signaling	KEGG: mmu04350
Vascular endothelial cells	Microglia	Tgfb2	TGFbR1_R2	0.00381167463196727	0	TGFB2_TGFBR1_TGFBR2	Tgfb2  - (Tgfbr1+Tgfbr2)	TGFb	Secreted Signaling	KEGG: mmu04350
Bipolar cells	Vascular endothelial cells	Tgfb2	TGFbR1_R2	0.0205012594558638	0	TGFB2_TGFBR1_TGFBR2	Tgfb2  - (Tgfbr1+Tgfbr2)	TGFb	Secreted Signaling	KEGG: mmu04350
Müller glia	Vascular endothelial cells	Tgfb2	TGFbR1_R2	0.0231627298159132	0	TGFB2_TGFBR1_TGFBR2	Tgfb2  - (Tgfbr1+Tgfbr2)	TGFb	Secreted Signaling	KEGG: mmu04350
Pericytes	Vascular endothelial cells	Tgfb2	TGFbR1_R2	0.00372383420803309	0	TGFB2_TGFBR1_TGFBR2	Tgfb2  - (Tgfbr1+Tgfbr2)	TGFb	Secreted Signaling	KEGG: mmu04350
Retinal ganglion cells	Vascular endothelial cells	Tgfb2	TGFbR1_R2	0.00518203068762121	0	TGFB2_TGFBR1_TGFBR2	Tgfb2  - (Tgfbr1+Tgfbr2)	TGFb	Secreted Signaling	KEGG: mmu04350
Vascular endothelial cells	Vascular endothelial cells	Tgfb2	TGFbR1_R2	0.00528568485689046	0	TGFB2_TGFBR1_TGFBR2	Tgfb2  - (Tgfbr1+Tgfbr2)	TGFb	Secreted Signaling	KEGG: mmu04350
