cell_type	group	count	total	ratio
Bipolar cells	CON	1236	3785	0.326552179656539
Bipolar cells	STZ	1102	4477	0.246146973419701
Cones	CON	220	3785	0.0581241743725231
Cones	STZ	121	4477	0.027027027027027
Microglia	CON	44	3785	0.0116248348745046
Microglia	STZ	132	4477	0.0294840294840295
Müller glia	CON	1475	3785	0.389696169088507
Müller glia	STZ	1753	4477	0.391556846102301
Pericytes	CON	86	3785	0.0227212681638045
Pericytes	STZ	154	4477	0.0343980343980344
Retinal ganglion cells	CON	44	3785	0.0116248348745046
Retinal ganglion cells	STZ	169	4477	0.0377484922939468
Rods cell	CON	473	3785	0.124966974900925
Rods cell	STZ	656	4477	0.146526691981237
Vascular endothelial cells	CON	207	3785	0.0546895640686922
Vascular endothelial cells	STZ	390	4477	0.0871119052937235
