p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cell_type	gene
0	4.70713053770312	0.963	0.417	0	Müller glia	Apoe
0	4.4716963081859	0.939	0.404	0	Müller glia	Glul
0	4.13587982956654	0.873	0.116	0	Müller glia	Rlbp1
0	4.01725178635533	0.903	0.287	0	Müller glia	Clu
0	3.76891540740453	0.763	0.061	0	Müller glia	Spc25
0	3.62537802204709	0.818	0.112	0	Müller glia	Dkk3
0	3.48054938447894	0.746	0.034	0	Müller glia	Aqp4
0	3.43232833137922	0.855	0.328	0	Müller glia	Acsl3
0	3.42587291915715	0.906	0.433	0	Müller glia	Dbi
9.13486382105792e-146	3.35255280837859	0.511	0.237	1.70255591896877e-141	Müller glia	Ptgds
0	3.27044815025676	0.835	0.215	0	Müller glia	Prdx6
0	3.27012925979597	0.742	0.039	0	Müller glia	Slc1a3
0	3.16367092678909	0.736	0.059	0	Müller glia	Gpr37
0	3.14057349965158	0.807	0.117	0	Müller glia	Cryab
0	3.09937311047324	0.732	0.044	0	Müller glia	Abca8a
0	2.97806316593229	0.594	0.087	0	Müller glia	Trf
0	2.95143836906113	0.755	0.071	0	Müller glia	Dapl1
0	2.90417997288112	0.761	0.041	0	Müller glia	Car14
0	2.89520011192004	0.771	0.127	0	Müller glia	Cd9
0	2.89381381033341	0.721	0.027	0	Müller glia	Espn
0	2.86939942770366	0.758	0.103	0	Müller glia	Cp
0	2.85765589841297	0.729	0.034	0	Müller glia	Crym
0	2.84432362181558	0.776	0.085	0	Müller glia	Trpm3
0	2.84128499599197	0.752	0.083	0	Müller glia	Fxyd1
0	2.83721378175609	0.774	0.126	0	Müller glia	Ptn
0	2.67745402074803	0.62	0.045	0	Müller glia	Enpp2
0	2.60355265578774	0.606	0.025	0	Müller glia	Shisal2b
0	2.59595205239653	0.67	0.042	0	Müller glia	Fxyd6
0	2.58968473570659	0.74	0.096	0	Müller glia	Ndrg2
0	2.58124480503426	0.749	0.114	0	Müller glia	Cox4i2
0	2.56897811578524	0.662	0.051	0	Müller glia	Sox9
0	2.54569674569675	0.76	0.17	0	Müller glia	Gpm6b
0	2.52122960309199	0.676	0.142	0	Müller glia	Hes1
0	2.52034062773972	0.722	0.235	0	Müller glia	Pmepa1
0	2.47102843208846	0.682	0.103	0	Müller glia	Rbp1
0	2.45161087424547	0.7	0.031	0	Müller glia	Spon1
0	2.45056771847146	0.658	0.021	0	Müller glia	Sox2
0	2.33324201985431	0.679	0.081	0	Müller glia	Plpp3
0	2.3273162687693	0.686	0.087	0	Müller glia	Kdr
0	2.32028407603531	0.807	0.205	0	Müller glia	Sparc
0	2.31190029484327	0.621	0.069	0	Müller glia	Utp14b
0	2.304767362566	0.553	0.091	0	Müller glia	Cebpd
0	2.3008429656447	0.651	0.02	0	Müller glia	Sbspon
0	2.29237316202867	0.671	0.022	0	Müller glia	Lhx2
0	2.28926556808248	0.774	0.293	0	Müller glia	Gpm6a
0	2.27294459436568	0.648	0.023	0	Müller glia	Il33
0	2.26457554284739	0.461	0.072	0	Müller glia	Ccn1
0	2.26152042470752	0.713	0.092	0	Müller glia	Pon2
0	2.24482040085313	0.672	0.022	0	Müller glia	Mlc1
0	2.22679772936267	0.694	0.041	0	Müller glia	Metrn
0	2.22305771809117	0.73	0.192	0	Müller glia	Ogfrl1
0	2.19826543271168	0.669	0.02	0	Müller glia	Pdpn
0	2.17847029914879	0.707	0.122	0	Müller glia	S100a1
0	2.16032503579602	0.708	0.167	0	Müller glia	Slmap
0	2.14829787828802	0.7	0.105	0	Müller glia	Synpr
0	2.1482647404898	0.721	0.134	0	Müller glia	Atp1a1
0	2.14466391643876	0.723	0.222	0	Müller glia	Rcn2
0	2.14177147831408	0.614	0.271	0	Müller glia	Jun
0	2.13349469014311	0.414	0.032	0	Müller glia	Hes5
0	2.1168758959078	0.705	0.077	0	Müller glia	Pax6
0	2.11466779174609	0.588	0.022	0	Müller glia	Col9a1
0	2.06805115336156	0.687	0.091	0	Müller glia	S100a16
0	2.03835285834513	0.743	0.145	0	Müller glia	Vim
0	2.03787033689231	0.673	0.09	0	Müller glia	Tsc22d4
0	2.03133745277983	0.717	0.243	0	Müller glia	Epha5
0	2.0248310373189	0.695	0.137	0	Müller glia	Timp3
0	2.00837148795612	0.677	0.17	0	Müller glia	Sat1
2.89576581633175e-292	1.99796135652828	0.468	0.164	5.39712832847912e-288	Müller glia	Fosb
0	1.99459833683631	0.883	0.727	0	Müller glia	Rtn4
0	1.98228403477192	0.616	0.018	0	Müller glia	Efemp1
0	1.98204540795298	0.628	0.067	0	Müller glia	Cav1
0	1.97172666599915	0.765	0.316	0	Müller glia	Gstm5
0	1.97029758424358	0.666	0.114	0	Müller glia	Atp1b3
0	1.94032906623907	0.605	0.016	0	Müller glia	Rrh
0	1.9313213482907	0.61	0.027	0	Müller glia	Fbxo2
0	1.92673658700186	0.712	0.198	0	Müller glia	Cnn3
0	1.92322254968131	0.62	0.051	0	Müller glia	Sfxn5
0	1.92280651634424	0.719	0.262	0	Müller glia	Nudt4
0	1.91617031044399	0.637	0.088	0	Müller glia	Crot
0	1.91396440217519	0.643	0.069	0	Müller glia	Plaat3
0	1.90827089859121	0.797	0.377	0	Müller glia	Gnai2
0	1.90490940494165	0.471	0.066	0	Müller glia	Adamts1
0	1.88250997429967	0.631	0.123	0	Müller glia	Zfp36l1
0	1.86549549525163	0.41	0.018	0	Müller glia	Itgb8
0	1.86347548830112	0.401	0.017	0	Müller glia	Aldh1a1
0	1.83201123220874	0.763	0.225	0	Müller glia	Gng5
0	1.82695425749192	0.677	0.148	0	Müller glia	Rax
0	1.81643629308858	0.659	0.091	0	Müller glia	Basp1
1.61054119519591e-299	1.8073529596639	0.568	0.364	3.00172667960613e-295	Müller glia	Fos
0	1.80334908760607	0.45	0.053	0	Müller glia	Anxa1
0	1.8017133691996	0.523	0.054	0	Müller glia	Gas1
0	1.8004838507063	0.56	0.02	0	Müller glia	Tox3
0	1.76913957597139	0.784	0.456	0	Müller glia	Ncam1
0	1.7619949257626	0.576	0.02	0	Müller glia	Slc6a1
0	1.73516772160884	0.475	0.011	0	Müller glia	Etnppl
0	1.73242918479236	0.629	0.093	0	Müller glia	Slc6a11
0	1.72640294198873	0.879	0.756	0	Müller glia	Eno1
0	1.71850448094333	0.52	0.071	0	Müller glia	Rdh10
0	1.71274050521282	0.584	0.07	0	Müller glia	Prex2
0	1.70918331305173	0.565	0.032	0	Müller glia	Fzd5
0	1.69549921716851	0.613	0.104	0	Müller glia	Hopx
3.6912372581605e-301	1.69514007376481	0.393	0.068	6.87972800175955e-297	Müller glia	Ccn2
0	1.69163279473908	0.549	0.022	0	Müller glia	Col23a1
0	1.68239541293878	0.803	0.464	0	Müller glia	Prdx1
0	1.67416465139248	0.689	0.254	0	Müller glia	Scd2
0	1.67156327583402	0.553	0.027	0	Müller glia	Luzp2
6.49265755833236e-208	1.65303833194199	0.474	0.23	1.21010151572199e-203	Müller glia	Ier2
0	1.65247747955282	0.477	0.047	0	Müller glia	Nupr1
0	1.64085778505806	0.735	0.24	0	Müller glia	Ldhb
3.64008236769401e-299	1.62297472899775	0.84	0.495	6.7843855169081e-295	Müller glia	Mt1
0	1.62067942700853	0.607	0.093	0	Müller glia	Six3os1
0	1.61834948905604	0.594	0.081	0	Müller glia	Cav2
0	1.61601652837701	0.615	0.154	0	Müller glia	Mir99ahg
0	1.61405888879432	0.585	0.081	0	Müller glia	Htra1
0	1.61248656980125	0.555	0.047	0	Müller glia	Mfap3l
0	1.60470622561422	0.679	0.166	0	Müller glia	Marcks
0	1.6039848286369	0.699	0.281	0	Müller glia	Cdh2
0	1.59675200662733	0.48	0.02	0	Müller glia	Abca8b
0	1.58485984343196	0.591	0.075	0	Müller glia	Gsta4
0	1.56974230809507	0.673	0.226	0	Müller glia	Myo6
0	1.56437164998458	0.685	0.206	0	Müller glia	Cspg5
0	1.56219703758012	0.545	0.04	0	Müller glia	Nt5dc2
1.29250327434326e-284	1.5570809936011	0.578	0.48	2.40896760272097e-280	Müller glia	Btg2
0	1.5529759074119	0.477	0.015	0	Müller glia	Slitrk2
0	1.54954750745799	0.743	0.379	0	Müller glia	Pfn2
0	1.547404684855	0.521	0.012	0	Müller glia	Folr1
0	1.54155421376632	0.773	0.45	0	Müller glia	Aldoc
0	1.53271290501481	0.568	0.064	0	Müller glia	Ddr1
0	1.505638812909	0.504	0.019	0	Müller glia	Ildr2
0	1.50421565391817	0.532	0.058	0	Müller glia	E130114P18Rik
0	1.50116883100808	0.537	0.034	0	Müller glia	Gstt1
0	1.50012738666871	0.58	0.072	0	Müller glia	Tmem176b
0	1.49989081886267	0.484	0.011	0	Müller glia	Kcnj10
0	1.49873642854408	0.551	0.078	0	Müller glia	Wipi1
0	1.49695480512246	0.528	0.043	0	Müller glia	Slc15a2
0	1.49474313622092	0.77	0.455	0	Müller glia	Ctsl
0	1.49335196557368	0.495	0.056	0	Müller glia	Rgs2
0	1.49328540922084	0.598	0.116	0	Müller glia	Ctnnbip1
0	1.48050943109523	0.667	0.175	0	Müller glia	Nfix
0	1.46853709556926	0.583	0.141	0	Müller glia	Zfp36l2
0	1.46779154575819	0.643	0.161	0	Müller glia	Enho
0	1.46451045149375	0.518	0.048	0	Müller glia	Tns3
0	1.46342853610903	0.598	0.173	0	Müller glia	Ptch1
0	1.46115559728899	0.542	0.06	0	Müller glia	Sorl1
0	1.44364475298536	0.484	0.07	0	Müller glia	Id2
0	1.43372782125457	0.482	0.013	0	Müller glia	Pdlim4
0	1.43007845376978	0.57	0.095	0	Müller glia	Ccnd3
0	1.41499956114269	0.452	0.013	0	Müller glia	Col2a1
1.73148825977449e-303	1.40809871022904	0.545	0.162	3.22714781856769e-299	Müller glia	Mt3
0	1.40776890131968	0.542	0.079	0	Müller glia	Pbxip1
0	1.39504162244106	0.634	0.221	0	Müller glia	Ap4s1
0	1.3925740404871	0.561	0.101	0	Müller glia	Kcnk1
0	1.38575724591996	0.471	0.014	0	Müller glia	Cxcl16
0	1.38086508442576	0.527	0.062	0	Müller glia	Ddah2
0	1.37963515811342	0.638	0.18	0	Müller glia	Add3
0	1.37908325532269	0.774	0.397	0	Müller glia	Cd63
0	1.36539315836566	0.45	0.013	0	Müller glia	Rgs6
0	1.36509294489327	0.713	0.308	0	Müller glia	Msi1
0	1.36359497793145	0.555	0.103	0	Müller glia	Chst2
0	1.34992832966563	0.501	0.04	0	Müller glia	Dpysl4
0	1.34938072422021	0.526	0.064	0	Müller glia	S100a10
0	1.348795245255	0.449	0.017	0	Müller glia	Gpld1
0	1.34291533327505	0.533	0.081	0	Müller glia	Cntfr
0	1.33547068343435	0.809	0.58	0	Müller glia	Tspan3
0	1.33425569962231	0.657	0.289	0	Müller glia	Tubb4b
0	1.33032794820941	0.441	0.009	0	Müller glia	Frzb
0	1.32882920610663	0.501	0.087	0	Müller glia	Crim1
0	1.3125228982815	0.565	0.126	0	Müller glia	Minar2
0	1.31122830646155	0.468	0.075	0	Müller glia	Itgav
0	1.31047494259234	0.637	0.215	0	Müller glia	Six6
0	1.30491062181166	0.847	0.674	0	Müller glia	Car2
0	1.30331513457601	0.458	0.028	0	Müller glia	Shisa9
0	1.30122840913459	0.411	0.007	0	Müller glia	Bmp3
0	1.28452922026094	0.627	0.195	0	Müller glia	Oat
0	1.28205434328416	0.512	0.057	0	Müller glia	S100a6
0	1.27809392055399	0.609	0.135	0	Müller glia	Crb1
