seurat_clusters	group	count	total	ratio
0	CON	775	3785	0.204755614266843
0	STZ	421	4477	0.0940361849452759
1	CON	473	3785	0.124966974900925
1	STZ	656	4477	0.146526691981237
2	CON	535	3785	0.141347424042272
2	STZ	575	4477	0.12843421934331
3	CON	208	3785	0.0549537648612946
3	STZ	783	4477	0.174893902166629
4	CON	367	3785	0.0969616908850727
4	STZ	358	4477	0.0799642617824436
5	CON	321	3785	0.0848084544253633
5	STZ	310	4477	0.0692427965155238
6	CON	334	3785	0.0882430647291942
6	STZ	169	4477	0.0377484922939468
7	CON	220	3785	0.0581241743725231
7	STZ	121	4477	0.027027027027027
8	CON	178	3785	0.0470277410832233
8	STZ	154	4477	0.0343980343980344
9	CON	129	3785	0.0340819022457067
9	STZ	139	4477	0.031047576502122
10	CON	29	3785	0.00766182298546896
10	STZ	236	4477	0.0527138708956891
11	CON	86	3785	0.0227212681638045
11	STZ	154	4477	0.0343980343980344
12	CON	44	3785	0.0116248348745046
12	STZ	169	4477	0.0377484922939468
13	CON	44	3785	0.0116248348745046
13	STZ	132	4477	0.0294840294840295
14	CON	42	3785	0.0110964332892999
14	STZ	100	4477	0.0223363859727496
