p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.28514918456769	0.977	0.201	0	0	Abca8a
0	1.44145597794781	0.677	0.119	0	0	Abca8b
0	2.17754161306993	1	0.455	0	0	Acsl3
0	1.28727122485661	0.97	0.51	0	0	Aldoc
0	2.29024530712102	1	0.568	0	0	Apoe
0	2.29474677136611	0.992	0.197	0	0	Aqp4
0	1.70551677735794	0.94	0.266	0	0	Atp1a1
0	1.53033272387668	0.89	0.235	0	0	Atp1b3
0	1.08038983734385	0.81	0.229	0	0	Basp1
0	1.84455587300211	0.973	0.212	0	0	Car14
0	1.21815946170131	0.997	0.699	0	0	Car2
0	1.6101638068618	0.857	0.189	0	0	Cav1
0	1.44502047816106	0.818	0.191	0	0	Cav2
0	1.19226182217922	0.966	0.473	0	0	Cd63
0	1.32144590281388	0.997	0.626	0	0	Cd81
0	2.21854673965817	0.998	0.274	0	0	Cd9
0	1.48938659558343	0.937	0.361	0	0	Cdh2
0	2.20969767327264	1	0.448	0	0	Clu
0	1.40989554400123	0.919	0.311	0	0	Cnn3
0	1.27512071403778	0.745	0.175	0	0	Cntfr
0	1.47070299926794	0.758	0.138	0	0	Col23a1
0	1.39146693500873	0.767	0.154	0	0	Col9a1
0	1.84781430604244	0.969	0.26	0	0	Cox4i2
0	1.8306421053901	0.995	0.251	0	0	Cp
0	1.56271580373811	0.864	0.207	0	0	Crot
0	1.72458100964547	0.978	0.286	0	0	Cryab
0	1.86089320693741	0.952	0.196	0	0	Crym
0	1.25254511679675	0.894	0.308	0	0	Cspg5
0	1.35518490496254	0.977	0.51	0	0	Ctsl
0	1.32869935711538	0.657	0.114	0	0	Cxcl16
0	1.57598602803931	0.951	0.235	0	0	Dapl1
0	1.81614811021831	0.996	0.554	0	0	Dbi
0	1.36657305733215	0.761	0.176	0	0	Ddr1
0	2.13917152487376	0.999	0.284	0	0	Dkk3
0	1.75498499716191	0.848	0.151	0	0	Efemp1
0	1.36065675023142	0.997	0.772	0	0	Eno1
0	0.754172556415245	0.79	0.181	0	0	Enpp2
0	1.75813239348318	0.969	0.337	0	0	Epha5
0	2.05198692046195	0.964	0.186	0	0	Espn
0	1.4324418663872	0.793	0.163	0	0	Fbxo2
0	0.887711953222364	0.947	0.256	0	0	Flt1
0	1.36793175118328	0.702	0.128	0	0	Folr1
0	2.01373829532672	0.975	0.238	0	0	Fxyd1
0	1.83619389510724	0.898	0.184	0	0	Fxyd6
0	1.42208155954525	0.768	0.151	0	0	Fzd5
0	2.19184867398941	1	0.548	0	0	Glul
0	1.48123129446682	0.992	0.465	0	0	Gnai2
0	1.21329120994165	0.936	0.351	0	0	Gng5
0	1.32471583401517	0.655	0.107	0	0	Gpld1
0	1.85611444962628	0.993	0.394	0	0	Gpm6a
0	1.62919294760995	0.978	0.303	0	0	Gpm6b
0	2.21559874609489	0.989	0.211	0	0	Gpr37
0	1.46091612515954	0.957	0.413	0	0	Gstm5
0	1.4440376793478	0.871	0.263	0	0	Hes1
0	1.44238679578257	0.801	0.189	0	0	Htra1
0	1.46306300870762	0.848	0.169	0	0	Il33
0	1.24671561757493	1	0.843	0	0	Itm2b
0	1.75575289796997	0.919	0.22	0	0	Kdr
0	1.27399166052405	0.929	0.349	0	0	Ldhb
0	1.71661449059557	0.895	0.171	0	0	Lhx2
0	1.51142481741287	0.764	0.143	0	0	Luzp2
0	1.52987184239717	0.929	0.271	0	0	Marcks
0	1.42832575549309	0.888	0.196	0	0	Metrn
0	1.31840761867909	0.729	0.164	0	0	Mfap3l
0	1.18389924781106	0.946	0.358	0	0	Mfge8
0	1.5717828467638	0.865	0.244	0	0	Mir99ahg
0	1.61604642069281	0.893	0.171	0	0	Mlc1
0	1.5282206118437	0.992	0.515	0	0	Ncam1
0	1.61892439690123	0.937	0.248	0	0	Ndrg2
0	1.20076465332146	0.889	0.279	0	0	Nfix
0	1.38511267401582	0.933	0.357	0	0	Nudt4
0	1.52227181511071	0.948	0.31	0	0	Ogfrl1
0	1.51955076417416	0.933	0.219	0	0	Pax6
0	1.57531085639142	0.878	0.172	0	0	Pdpn
0	1.31555249723503	0.953	0.448	0	0	Pfn2
0	1.43937227468745	0.838	0.201	0	0	Plaat3
0	1.83370641771056	0.936	0.209	0	0	Plpp3
0	1.89972729442902	0.954	0.336	0	0	Pmepa1
0	1.71104760279372	0.945	0.232	0	0	Pon2
0	1.33502999336649	0.975	0.533	0	0	Prdx1
0	1.69635873884461	0.992	0.367	0	0	Prdx6
0	1.40734811279923	0.782	0.184	0	0	Prex2
0	1.41287858136506	0.829	0.256	0	0	Ptch1
0	2.26042101866123	0.992	0.276	0	0	Ptn
0	1.49233308674642	0.895	0.263	0	0	Rax
0	1.63542528568427	0.947	0.328	0	0	Rcn2
0	2.14698914566477	0.998	0.312	0	0	Rlbp1
0	1.40860176926267	0.795	0.153	0	0	Rrh
0	1.29393958923051	0.98	0.591	0	0	Rtn3
0	1.65854808089853	1	0.752	0	0	Rtn4
0	1.38505069193512	0.875	0.262	0	0	S100a1
0	1.49324441112958	0.9	0.226	0	0	S100a16
0	1.4036652744571	0.876	0.282	0	0	Sat1
0	1.88019081324003	0.898	0.159	0	0	Sbspon
0	1.42473509526074	0.897	0.344	0	0	Scd2
0	1.34726049484832	0.797	0.185	0	0	Sfxn5
0	2.04626480645614	0.839	0.152	0	0	Shisal2b
0	1.0646345894911	0.901	0.323	0	0	Six3
0	1.42530973074982	0.816	0.206	0	0	Six3os1
0	2.24096630343104	0.992	0.199	0	0	Slc1a3
0	1.54546660465556	0.796	0.143	0	0	Slc6a1
0	1.44577494450196	0.849	0.21	0	0	Slc6a11
0	1.43986087594407	0.664	0.116	0	0	Slitrk2
0	1.63388852054376	0.926	0.286	0	0	Slmap
0	1.69432119473725	0.897	0.164	0	0	Sox2
0	1.63333393485717	0.884	0.189	0	0	Sox9
0	1.58648246451611	0.992	0.347	0	0	Sparc
0	2.30006392331502	0.976	0.227	0	0	Spc25
0	1.76770211312885	0.937	0.183	0	0	Spon1
0	1.64863278483346	0.943	0.235	0	0	Synpr
0	0.678409021734842	0.88	0.266	0	0	Timp3
0	1.24951423110565	0.768	0.186	0	0	Tmem176b
0	1.45160861354986	0.758	0.142	0	0	Tox3
0	1.73160603927564	0.978	0.25	0	0	Trpm3
0	1.34479879076542	0.858	0.226	0	0	Tsc22d4
0	1.22365436113489	0.988	0.615	0	0	Tspan3
0	1.56761993909606	0.832	0.192	0	0	Utp14b
0	1.43452532895187	0.962	0.28	0	0	Vim
0	1.10848473783693	0.83	0.235	0	0	Zfp36l1
4.94065645841247e-324	1.25408709294808	0.728	0.167	9.20839550718915e-320	0	Sorl1
5.87740492292747e-320	0.833395190834161	0.808	0.247	1.09543072953522e-315	0	Crip2
2.06825760662063e-319	1.28063645432913	0.7	0.153	3.85481852721952e-315	0	Slc15a2
8.19038361931183e-317	1.04074203495682	0.957	0.419	1.52652369896734e-312	0	Epb41l2
2.30473365872924e-314	1.23481692940663	0.834	0.267	4.29556259313955e-310	0	Enho
7.14108451404179e-314	1.17459966004921	0.788	0.221	1.33095533172711e-309	0	Hopx
7.67573546249589e-314	0.666149677904456	0.809	0.248	1.43060357549998e-309	0	Rbp1
3.85832182013457e-313	1.22074057375846	0.786	0.223	7.1911402083668e-309	0	Ctnnbip1
4.54549350423052e-313	1.2873635993195	0.712	0.163	8.47189079318484e-309	0	E130114P18Rik
5.38837582032298e-313	1.17916855279921	0.846	0.277	1.0042854853918e-308	0	Add3
2.12945635503176e-312	1.16588623479703	0.703	0.158	3.96888075450819e-308	0	Gas1
6.56079549524974e-312	1.16322967133618	0.68	0.142	1.22280106440465e-307	0	Dpysl4
4.37909118529327e-310	1.30166002623374	0.585	0.094	8.1617501511496e-306	0	Bmp3
7.67101316026853e-309	1.24488527999284	0.753	0.2	1.42972343281085e-304	0	Chst2
1.64129569220495e-307	1.28562591676493	0.749	0.201	3.05904691113159e-303	0	Kcnk1
2.30229012510054e-304	1.21250914156497	0.87	0.321	4.29100833516239e-300	0	Myo6
