ID	Term	Ontology	Count	Size	numInt	numTotal	p_value	fdr	Enrichment_Score	Fold_Enrichment	GeneRatio	Genes
GO:0003730	mRNA_3'-UTR_binding	Molecular Function	2	93	24	15172	0.00939767367552785	0.0696251310144851	2.02697963947673	13.594982078853	0.0833333333333333	Cirbp//Mir124-2hg
GO:0031625	ubiquitin_protein_ligase_binding	Molecular Function	3	308	24	15172	0.0122287583661126	0.0728302007643671	1.91261763635049	6.15746753246753	0.125	Hsp90ab1//Hspa5//Ubc
GO:0044389	ubiquitin-like_protein_ligase_binding	Molecular Function	3	325	24	15172	0.014124850661631	0.0739488659644461	1.85001613516675	5.83538461538462	0.125	Hsp90ab1//Hspa5//Ubc
GO:0001158	enhancer_sequence-specific_DNA_binding	Molecular Function	2	144	24	15172	0.0215381489093618	0.0789447066247443	1.66679162476111	8.78009259259259	0.0833333333333333	H3f3b//Hmgb2
GO:0035326	enhancer_binding	Molecular Function	2	153	24	15172	0.0241160110550888	0.0813915373109247	1.61769452572048	8.2636165577342	0.0833333333333333	H3f3b//Hmgb2
GO:0003723	RNA_binding	Molecular Function	5	1122	24	15172	0.0286061940966783	0.0874378008238093	1.54353991894273	2.81714200831848	0.208333333333333	Cirbp//Hsp90ab1//Mir124-2hg//Pcbp3//Rbm3
GO:0016747	transferase_activity,_transferring_acyl_groups_other_than_amino-acyl_groups	Molecular Function	2	232	24	15172	0.0515422501485325	0.126512795819125	1.28783662564232	5.44971264367816	0.0833333333333333	Osgep//Sh3glb1
GO:0016772	transferase_activity,_transferring_phosphorus-containing_groups	Molecular Function	4	936	24	15172	0.0570755233179044	0.134003402572471	1.24355009783096	2.70156695156695	0.166666666666667	Ip6k2//Prkab1//Samd8//Uckl1
GO:0016746	transferase_activity,_transferring_acyl_groups	Molecular Function	2	268	24	15172	0.0665083337269179	0.145599325185955	1.17712393266908	4.71766169154229	0.0833333333333333	Osgep//Sh3glb1
GO:0042623	ATPase_activity,_coupled	Molecular Function	2	274	24	15172	0.0691314103321485	0.149323846317441	1.160324583097	4.61435523114355	0.0833333333333333	Dynll1//Hspa5
GO:0003729	mRNA_binding	Molecular Function	2	306	24	15172	0.0836842086007554	0.167368417201511	1.07735648662542	4.1318082788671	0.0833333333333333	Cirbp//Mir124-2hg
