ID	t	p_value
Fosb	-9.24938168821564	4.19805384979411e-20
Junb	-10.897079746917	3.81296328277829e-27
Jun	-11.5769134592563	2.5444410698511e-30
Jund	-14.7891323508024	7.1526418364166e-48
Cebpd	-9.19323141267466	6.73026799853237e-20
Tcf7l2	-18.151985279128	5.90933791260353e-70
Egr1	-19.3284122088831	7.70087316993995e-79
Mxd4	0.64346443067365	0.519968604379985
Kdm5b	-2.00651307455046	0.0448942915697765
Irf7	1.78915046164575	0.0736848273995547
Irf9	0.918972005992551	0.358179232395237
Irf1	3.50923961619133	0.000456492748526125
Stat2	1.94432284598999	0.0519436775017863
Arntl	5.3552926982421	9.14377354034957e-08
Atf4	-3.15735916655578	0.00160867714261757
Cebpb	4.33793247248928	1.48279039422784e-05
Irf3	-0.548976915742722	0.583062910533865
Nfkb1	3.19454236759382	0.00141454580990807
Bach1	4.94473560592358	8.01423735820793e-07
E2f1	6.37254167598581	2.13056843720517e-10
Zbtb41	4.515628423458	6.54028054384475e-06
Six5	5.37561307627292	8.17550683612251e-08
Hcfc1	5.3730899707178	8.42326924379282e-08
Tbx2	7.26624626634195	4.64290137155108e-13
Yy1	6.75693018160494	1.67902165890679e-11
Max	7.36778386339745	2.23283985751965e-13
Klf10	3.47296435158977	0.000522059306572536
Tbpl1	7.90077808233768	4.21679329623755e-15
Ahr	4.40167943948621	1.11443761869654e-05
Foxp2	4.49430189868176	7.26773833346801e-06
Sp2	8.26975393634808	2.06147937161527e-16
Gtf3a	3.81953622138083	0.000136610748907967
Zfp595	2.02355638163603	0.0430996637358178
Rel	1.43602254767267	0.151093046022306
Pbx1	5.99796844224497	2.22694309881853e-09
Pbx3	12.6552206257786	7.64410389594574e-36
Otx2	16.5910829200121	2.18685346475161e-59
Neurod1	15.2451345056242	9.99936235965945e-51
Crx	17.0576892109577	1.56321963558174e-62
Sap30	16.907281672513	2.05436437490007e-61
Erf	7.62126458492869	3.33071810325418e-14
Elk1	10.899781849308	3.64369907805008e-27
Elk3	12.0403446282264	1.09931636034185e-32
Etv5	9.6373301352738	1.08810239148974e-21
Elf1	13.1652428144862	1.37187513355147e-38
Meis1	7.42619261634685	1.42297804027226e-13
Bclaf1	11.4049352362044	1.46414083122502e-29
Nr2c2	13.8339254772081	2.59009733316177e-42
Ep300	12.293391828154	5.71597055413685e-34
Etv1	10.6478987758966	4.87978188651816e-26
Stat1	8.44413588880095	4.57859599076152e-17
Dnmt3a	9.24089621117905	4.31907082269934e-20
E2f6	11.6548397444838	9.31053615690903e-31
Ets2	12.57485778378	1.98963165320574e-35
Mecp2	11.7059446598172	5.00837904569905e-31
Gtf2f1	16.5643437007807	3.42331259600008e-59
Foxo1	15.6765321457248	1.96823085831743e-53
Taf1	14.6798409119004	2.81434680631641e-47
Elf2	14.5999787419844	8.46401983499629e-47
Etv3	12.6211018009171	1.11113009292327e-35
Elk4	12.0338723815897	1.18910281819613e-32
Rbbp5	14.535078334739	2.23215986301762e-46
Sin3a	14.0056910851142	2.81406995422611e-43
Sp1	14.4644654200131	5.44727483582455e-46
Gabpa	14.371577434225	1.93855954573854e-45
Phf8	12.8631009840519	5.97107677530739e-37
E4f1	6.46326364132919	1.18009992688512e-10
